proud,hopeful,storycond,anxcond3,anxietyvid,anxcond,anxiousplus_video,anxious_video
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
1,2,2,1,0,0,1,1
,,0,0,0,0,,
,,0,0,0,0,,
1,1,2,0,0,0,1.333333,2
2,2,1,1,0,0,2,3
,,0,0,0,0,,
,,0,0,0,0,,
1,1,0,1,0,0,1,1
3,3,0,1,0,0,1.333333,2
,,0,0,0,0,,
,,0,0,0,0,,
,,0,1,0,0,1,1
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
2,3,1,1,0,0,5,5
,,0,0,0,0,,
2,1,2,1,0,0,2.666667,2
,,0,0,0,0,,
2,2,0,1,0,0,1.333333,2
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
3,2,2,2,1,1,3,4
,,0,0,0,0,,
,,0,0,0,0,,
1,1,1,0,0,0,1,1
1,1,1,0,0,0,1,1
4,4,0,0,0,0,3.333333,4
1,1,0,1,0,0,1.666667,1
2,2,2,1,0,0,1,1
2,2,0,2,1,1,3.333333,4
1,1,0,1,0,0,1,1
1,1,1,2,1,1,1.666667,2
2,3,2,0,0,0,1,1
1,1,0,1,0,0,1.666667,3
4,4,1,1,0,0,2.333333,3
1,2,1,1,0,0,1,1
1,1,1,1,0,0,1.666667,2
1,2,2,2,1,1,3.333333,4
1,1,2,0,0,0,1.333333,2
2,2,1,1,0,0,1.666667,2
1,1,2,0,0,0,1,1
1,1,0,0,0,0,1.666667,2
2,3,0,0,0,0,1.333333,2
1,1,0,2,1,1,4.666667,5
4,3,2,0,0,0,1.666667,3
1,1,2,1,0,0,1,1
2,2,0,0,0,0,1,1
3,3,2,2,1,1,2,2
3,3,1,2,1,1,3.666667,4
2,1,1,2,1,1,1.333333,1
1,1,2,2,1,1,3.333333,4
2,3,0,1,0,0,1,1
1,1,0,1,0,0,2,2
2,1,1,0,0,0,1.666667,2
4,4,0,2,1,1,3.666667,4
3,1,1,0,0,0,3.333333,4
2,2,2,0,0,0,1,1
3,3,1,2,1,1,3.666667,5
1,1,2,2,1,1,3.666667,5
1,1,2,1,0,0,1,1
1,1,0,1,0,0,1.666667,2
2,2,2,0,0,0,1,1
1,1,1,2,1,1,3.666667,5
1,1,1,2,1,1,1.666667,2
,,0,0,0,0,,
2,3,0,2,1,1,3,4
1,1,0,2,1,1,3.666667,5
1,2,2,1,0,0,1.333333,2
,,0,0,0,0,,
2,3,2,2,1,1,3.666667,5
2,2,1,0,0,0,1.333333,2
1,1,1,1,0,0,1.333333,1
2,2,1,2,1,1,1.333333,2
1,1,2,0,0,0,1,1
2,3,0,2,1,1,3.333333,4
1,1,1,0,0,0,5,5
2,2,1,1,0,0,3.666667,4
1,2,0,2,1,1,2.666667,3
1,2,2,2,1,1,1.666667,3
1,1,0,2,1,1,1,1
3,2,2,2,1,1,2.666667,3
2,1,0,1,0,0,2.333333,2
1,1,0,2,1,1,3,4
3,2,2,1,0,0,2,3
3,2,0,0,0,0,2.333333,1
3,1,2,0,0,0,1.333333,1
1,2,0,2,1,1,3,4
1,1,1,2,1,1,2.666667,4
1,2,2,0,0,0,1,1
2,3,1,2,1,1,3.333333,4
1,1,2,2,1,1,2,3
1,3,1,2,1,1,2.666667,3
1,1,1,2,1,1,2.666667,4
2,2,2,1,0,0,3,4
1,2,1,2,1,1,2.666667,4
3,2,0,1,0,0,1.666667,3
2,2,0,0,0,0,1,1
2,2,1,2,1,1,2.666667,4
1,3,2,0,0,0,1,1
2,3,0,0,0,0,1.666667,2
1,2,0,1,0,0,1.666667,2
1,1,0,0,0,0,1,1
1,1,1,0,0,0,2,3
3,2,0,1,0,0,1.333333,2
3,3,1,2,1,1,2,2
2,3,2,0,0,0,2,2
3,3,0,2,1,1,3,4
1,1,1,0,0,0,1.666667,3
1,1,2,0,0,0,1.333333,1
3,3,0,1,0,0,1,1
2,2,2,2,1,1,2.333333,3
1,1,0,1,0,0,2,3
1,1,2,1,0,0,1,1
1,1,2,1,0,0,1,1
1,3,1,2,1,1,2.333333,3
3,2,0,2,1,1,1.666667,2
3,3,1,2,1,1,4.333333,5
3,2,0,2,1,1,3.333333,4
3,2,2,2,1,1,4,5
1,2,2,1,0,0,1.333333,1
2,3,1,2,1,1,1.666667,2
1,2,0,0,0,0,1,1
2,2,1,0,0,0,1,1
1,1,0,0,0,0,1,1
1,1,2,2,1,1,2.333333,3
1,2,0,2,1,1,3.333333,3
3,3,2,0,0,0,2.666667,3
1,1,1,0,0,0,1,1
3,3,1,1,0,0,2,3
1,1,2,1,0,0,1,1
1,1,2,2,1,1,2.333333,3
1,1,0,0,0,0,1.333333,1
1,1,1,0,0,0,1,1
2,1,1,1,0,0,1.666667,2
1,1,1,1,0,0,1,1
3,3,0,2,1,1,3,4
2,2,1,1,0,0,1,1
1,1,0,0,0,0,2,3
2,2,1,2,1,1,2.666667,3
3,3,0,1,0,0,2.666667,4
2,2,0,2,1,1,3.666667,4
2,3,2,0,0,0,3,5
1,1,2,0,0,0,1.333333,2
2,2,1,2,1,1,1.666667,2
3,3,1,1,0,0,2,2
2,2,2,0,0,0,1.666667,3
4,4,2,0,0,0,5,5
2,2,2,0,0,0,1.333333,2
1,1,0,1,0,0,1.666667,3
4,3,0,2,1,1,4.333333,5
3,3,1,1,0,0,1,1
3,3,0,2,1,1,4,5
3,3,2,1,0,0,1,1
2,2,0,2,1,1,2.666667,3
1,1,1,2,1,1,3.666667,4
1,3,2,2,1,1,3.666667,4
2,2,2,0,0,0,1,1
3,3,0,0,0,0,3,4
1,1,1,0,0,0,1,1
3,3,0,2,1,1,4,5
1,1,2,1,0,0,1,1
3,3,0,1,0,0,1,1
2,2,2,2,1,1,2,3
2,1,0,0,0,0,1.333333,2
3,4,2,0,0,0,1,1
1,1,0,0,0,0,1.333333,2
1,1,1,2,1,1,3,4
1,1,0,2,1,1,1.666667,2
1,1,1,0,0,0,1,1
2,1,2,2,1,1,2,3
1,1,1,0,0,0,1,1
2,1,2,1,0,0,3,4
1,2,2,1,0,0,1,1
2,2,2,2,1,1,4.333333,5
1,1,1,1,0,0,1,1
4,3,0,1,0,0,1.333333,2
2,3,0,1,0,0,1.333333,2
3,2,2,0,0,0,2,2
1,1,1,2,1,1,3.666667,5
,,0,0,0,0,,
1,2,0,0,0,0,3.333333,3
2,3,1,0,0,0,1.333333,2
1,1,0,2,1,1,3.666667,5
1,2,0,1,0,0,1,1
1,2,2,2,1,1,3,4
1,3,2,2,1,1,3.666667,4
1,1,1,1,0,0,1,1
1,1,1,0,0,0,2.333333,3
3,3,1,1,0,0,1.666667,3
1,2,2,2,1,1,2.666667,3
2,1,1,0,0,0,1.333333,2
3,3,1,0,0,0,1.333333,2
1,2,0,1,0,0,2.666667,2
3,4,0,2,1,1,3,4
1,2,2,0,0,0,1.333333,2
1,1,1,0,0,0,1.333333,2
3,4,2,2,1,1,3.333333,4
1,1,2,2,1,1,1.666667,1
2,3,1,2,1,1,1.666667,2
3,3,2,2,1,1,3.333333,5
1,3,1,1,0,0,1.666667,2
3,2,1,2,1,1,3.333333,4
2,2,0,0,0,0,1.333333,2
2,4,0,2,1,1,2.333333,4
,,0,0,0,0,,
,,0,0,0,0,,
1,1,2,1,0,0,2.333333,3
2,2,1,2,1,1,3.333333,4
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
1,1,0,2,1,1,1.666667,2
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
,,0,0,0,0,,
